BuildingID,City,Country,SquareMeters,Type,Year,EnergyEfficiencyClass
B_1001,Turin,Italy,120,Residential,1985,C
B_1002,Lyon,France,200,Commercial,2010,A
B_1003,Turin,Italy,50,Residential,1950,F
B_1004,Berlin,Germany,1500,Commercial,2005,B
B_1005,Madrid,Spain,85,Residential,1972,D
B_1006,Lyon,France,3000,Industrial,1990,E
B_1007,Turin,Italy,250,Commercial,2018,A
B_1008,Berlin,Germany,110,Residential,2002,B
B_1009,Madrid,Spain,5000,Industrial,1988,F
B_1010,Paris,France,75,Residential,1960,E
B_1011,Rome,Italy,800,Commercial,1995,C
B_1012,Munich,Germany,95,Residential,2015,A
B_1013,Barcelona,Spain,1200,Commercial,2008,B
B_1014,Marseille,France,60,Residential,1948,G
B_1015,Milan,Italy,4500,Industrial,2001,D
B_1016,Hamburg,Germany,300,Commercial,1999,C
B_1017,Turin,Italy,180,Residential,2020,A
B_1018,Lyon,France,150,Residential,1980,D
B_1019,Seville,Spain,220,Commercial,2012,B
B_1020,Frankfurt,Germany,750,Industrial,1975,E
B_1021,Naples,Italy,90,Residential,1965,E
B_1022,Paris,France,2500,Commercial,2019,A
B_1023,Munich,Germany,1800,Industrial,1992,C
B_1024,Valencia,Spain,130,Residential,1998,B
B_1025,Turin,Italy,600,Commercial,2003,B
B_1026,Lyon,France,70,Residential,1955,F
B_1027,Berlin,Germany,400,Commercial,1994,C
B_1028,Madrid,Spain,8000,Industrial,1982,F
B_1029,Rome,Italy,140,Residential,1978,D
B_1030,Paris,France,350,Commercial,2011,A
B_1031,Munich,Germany,200,Residential,2000,B
B_1032,Barcelona,Spain,100,Residential,1969,E
B_1033,Turin,Italy,10000,Industrial,1970,G
B_1034,Marseille,France,450,Commercial,2007,B
B_1035,Milan,Italy,160,Residential,2014,A
B_1036,Hamburg,Germany,60,Residential,1952,F
B_1037,Seville,Spain,900,Industrial,1996,D
B_1038,Lyon,France,320,Commercial,2021,A
B_1039,Frankfurt,Germany,120,Residential,1989,C
B_1040,Naples,Italy,80,Residential,1963,E
B_1041,Turin,Italy,700,Commercial,1991,C
B_1042,Berlin,Germany,6500,Industrial,2004,B
B_1043,Madrid,Spain,220,Commercial,2013,B
B_1044,Paris,France,90,Residential,1984,D
B_1045,Rome,Italy,110,Residential,1976,D
B_1046,Munich,Germany,550,Commercial,2006,B
B_1047,Barcelona,Spain,3000,Industrial,1987,E
B_1048,Lyon,France,130,Residential,2017,A
B_1049,Milan,Italy,400,Commercial,2009,B
B_1050,Hamburg,Germany,170,Residential,1968,E
B_1051,Turin,Italy,90,Residential,1958,F
B_1052,Marseille,France,1500,Industrial,1979,F
B_1053,Berlin,Germany,280,Commercial,1993,C
B_1054,Madrid,Spain,100,Residential,2001,B
B_1055,Paris,France,4000,Industrial,1981,E
B_1056,Rome,Italy,600,Commercial,2016,A
B_1057,Munich,Germany,75,Residential,1962,E
B_1058,Frankfurt,Germany,1200,Commercial,2014,A
B_1059,Seville,Spain,80,Residential,1974,D
B_1060,Naples,Italy,2000,Industrial,1986,F
B_1061,Turin,Italy,300,Commercial,2022,A
B_1061,Turin,Italy,300,Commercial,2022,B
B_1061,Turin,Italy,300,Commercial,2022,B
B_1061,Turin,Italy,300,Commercial,2022,B
B_1061,Turin,Italy,300,Commercial,2022,B
B_1061,Turin,Italy,300,Commercial,2022,B
B_1021,Naples,Italy,90,Residential,1965,A
B_1021,Naples,Italy,90,Residential,1965,A
B_1021,Naples,Italy,90,Residential,1965,A
B_1021,Naples,Italy,90,Residential,1965,A
B_1021,Naples,Italy,90,Residential,1965,B